Lista de participantes ativos do Pix
 ;Nome Reduzido;ISPB;CNPJ;Tipo de Instituição;Autorizada pelo BCB;Tipo de Participação no SPI;Tipo de Participação no Pix;Modalidade de Participação no Pix;Iniciação de Transação de Pagamento;Facilitador de serviço de Saque e Troco (FSS)
1;6PAY IP;07322044;07.322.044/0001-87;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
2;7TRUST FINANCE IP S.A.;33930368;33.930.368/0001-08;Instituição de Pagamento;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
3;99PAY IP S.A.;24313102;24.313.102/0001-25;Instituição de Pagamento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
4;A27 IP S/A;35534511;35.534.511/0001-78;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
5;A55 SCD S.A.;48756121;48.756.121/0001-94;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
6;ACCESSTAGE IP LTDA.;;46.410.407/0001-98;Instituição de Pagamento;Sim;;Facultativa;Iniciador;Sim;N/A
7;ACCREDITO SCD S.A.;37715993;37.715.993/0001-98;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
8;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;13140088;13.140.088/0001-99;Instituição de Pagamento;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
9;ACG IP S.A.;10868663;10.868.663/0001-86;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
10;ADYEN DO BRASIL IP LTDA.;14796606;14.796.606/0001-90;Instituição de Pagamento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
11;AIBR IP LTDA.;32246162;32.246.162/0001-09;Instituição de Pagamento;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
12;AL5 S.A. SCFI;27214112;27.214.112/0001-00;Sociedade de Crédito, Financiamento e Investimento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
13;ALL IN CRED SCD S.A.;51414521;51.414.521/0001-26;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
14;APE POUPEX;00655522;00.655.522/0001-21;Associação de Poupança e Empréstimo;Sim;Indireta;Obrigatória;Provedor de Conta Transacional;Não;Não
15;APROMS NET IP LTDA.;37168145;37.168.145/0001-06;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
16;APTARE;16876258;16.876.258/0001-96;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
17;ARTTA SCD;42259084;42.259.084/0001-22;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
18;ASA SCFI S.A.;48703388;48.703.388/0001-13;Sociedade de Crédito, Financiamento e Investimento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Sim
19;ASAAS IP S.A.;19540550;19.540.550/0001-21;Instituição de Pagamento;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
20;ASTROPAY;34006497;34.006.497/0001-77;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
21;ATF SCD S.A.;44728700;44.728.700/0001-72;Sociedade de Crédito Direto;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
22;ATICCA SCD S.A.;44478623;44.478.623/0001-40;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
23;AURIX PAY IP;30015936;30.015.936/0001-57;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
24;AUTHPAY INSTITUICAO DE PAGAMENTOS LTDA;07398335;07.398.335/0001-59;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
25;AZIMUT BRASIL DTVM LTDA;18684408;18.684.408/0001-95;Sociedade Distribuidora de TVM;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
26;B3 IP LTDA;;47.825.528/0001-63;Instituição de Pagamento;Sim;;Facultativa;Iniciador;Sim;N/A
27;B91;33735811;33.735.811/0001-90;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
28;BANCO BARI S.A.;00556603;00.556.603/0001-74;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
29;BANCO BTG PACTUAL S.A.;30306294;30.306.294/0001-45;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
30;BANCO DIGIO;27098060;27.098.060/0001-45;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
31;BANCO GENIAL;45246410;45.246.410/0001-55;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
32;BANCO INBURSA;04866275;04.866.275/0001-63;Banco Múltiplo;Sim;Direta;Facultativa;Liquidante Especial;Não;N/A
33;BANCO INTER;00416968;00.416.968/0001-01;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Sim
34;BANCO ORIGINAL;92894922;92.894.922/0001-08;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
35;BANCO PAN;59285411;59.285.411/0001-13;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
36;BANCO RANDON S.A.;11476673;11.476.673/0001-39;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
37;BANCO SEMEAR;00795423;00.795.423/0001-45;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Sim
38;BANCO SICOOB S.A.;02038232;02.038.232/0001-64;Banco Múltiplo Cooperativo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Sim
39;BANCO TOPÁZIO S.A.;07679404;07.679.404/0001-00;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Sim
40;BANCO TRAVELEX S.A.;11703662;11.703.662/0001-44;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
41;BANKOSO INSTITUICAO DE PAGAMEN;32053736;32.053.736/0001-14;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
42;BANKRY;28595756;28.595.756/0001-40;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
43;BANQI;30723871;30.723.871/0001-02;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
44;BANRISUL PAGAMENTOS IP;92934215;92.934.215/0001-06;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
45;BASS PAGO;37293930;37.293.930/0001-90;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
46;BCO ABC BRASIL S.A.;28195667;28.195.667/0001-06;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
47;BCO AFINZ S.A. - BM;04814563;04.814.563/0001-74;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Sim
48;BCO AGIBANK S.A.;10664513;10.664.513/0001-50;Banco Comercial;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
49;BCO ARBI S.A.;54403563;54.403.563/0001-50;Banco Comercial;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Sim
50;BCO B3 S.A.;00997185;00.997.185/0001-50;Banco Comercial;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
51;BCO BANESTES S.A.;28127603;28.127.603/0001-78;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Sim
52;BCO BMG S.A.;61186680;61.186.680/0001-74;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Não
53;BCO BNP PARIBAS BRASIL S A;01522368;01.522.368/0001-82;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
54;BCO BRADESCO S.A.;60746948;60.746.948/0001-12;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Sim
55;BCO BRASILEIRO DE CRÉDITO S.A.;01852137;01.852.137/0001-37;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
56;BCO BS2 S.A.;71027866;71.027.866/0001-34;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
57;BCO BV S.A.;01858774;01.858.774/0001-10;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
58;BCO C6 S.A.;31872495;31.872.495/0001-72;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
59;BCO CITIBANK S.A.;33479023;33.479.023/0001-80;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
60;BCO COOPERATIVO SICREDI S.A.;01181521;01.181.521/0001-55;Banco Múltiplo Cooperativo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Sim
61;BCO CREFISA S.A.;61033106;61.033.106/0001-86;Banco Comercial;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
62;BCO CSF S.A.;08357240;08.357.240/0001-50;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
63;BCO DA AMAZONIA S.A.;04902979;04.902.979/0001-44;Banco Comercial;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
64;BCO DAYCOVAL S.A;62232889;62.232.889/0001-90;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
65;BCO DO BRASIL S.A.;00000000;00.000.000/0001-91;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Sim
66;BCO DO EST. DE SE S.A.;13009717;13.009.717/0001-46;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Sim
67;BCO DO EST. DO PA S.A.;04913711;04.913.711/0001-08;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
68;BCO DO ESTADO DO RS S.A.;92702067;92.702.067/0001-96;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Sim
69;BCO DO NORDESTE DO BRASIL S.A.;07237373;07.237.373/0001-20;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Não;Não
70;BCO FIBRA S.A.;58616418;58.616.418/0001-08;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
71;BCO GUANABARA S.A.;31880826;31.880.826/0001-16;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
72;BCO HSBC S.A.;53518684;53.518.684/0001-84;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
73;BCO INDUSTRIAL DO BRASIL S.A.;31895683;31.895.683/0001-16;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
74;BCO J.P. MORGAN S.A.;33172537;33.172.537/0001-98;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
75;BCO KEB HANA DO BRASIL S.A.;02318507;02.318.507/0001-13;Banco Comercial;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
76;BCO LUSO BRASILEIRO S.A.;59118133;59.118.133/0001-00;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
77;BCO MERCANTIL DO BRASIL S.A.;17184037;17.184.037/0001-10;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Não
78;BCO PAULISTA S.A.;61820817;61.820.817/0001-09;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
